Date,Close
2012-12-20,135.659
2012-12-21,135.684
2012-12-24,135.713
2012-12-25,135.703
2012-12-26,135.723
2012-12-27,135.731
2012-12-28,135.745
2012-12-31,135.788
2013-01-04,135.84
2013-01-07,135.875
2013-01-08,135.879
2013-01-09,135.892
2013-01-10,135.895
2013-01-11,135.882
2013-01-14,135.925
2013-01-15,135.939
2013-01-16,135.956
2013-01-17,135.988
2013-01-18,135.983
2013-01-21,136.01
2013-01-22,136.029
2013-01-23,136.041
2013-01-24,136.056
2013-01-25,136.068
2013-01-28,136.099
2013-01-29,136.118
2013-01-30,136.126
2013-01-31,136.121
2013-02-01,136.145
2013-02-04,136.184
2013-02-05,136.199
2013-02-06,136.258
2013-02-07,136.273
2013-02-08,136.19
2013-02-18,136.468
2013-02-19,136.447
2013-02-20,136.463
2013-02-21,136.487
2013-02-22,136.498
2013-02-25,136.541
2013-02-26,136.552
2013-02-27,136.578
2013-02-28,136.586
2013-03-01,136.599
2013-03-04,136.657
2013-03-05,136.672
2013-03-06,136.683
2013-03-07,136.681
2013-03-08,136.695
2013-03-11,136.727
2013-03-12,136.74
2013-03-13,136.764
2013-03-14,136.779
2013-03-15,136.788
2013-03-18,136.82
2013-03-19,136.825
2013-03-20,136.855
2013-03-21,136.869
2013-03-22,136.883
2013-03-25,136.909
2013-03-26,136.911
2013-03-27,136.844
2013-03-28,136.944
2013-03-29,136.959
2013-04-01,137.009
2013-04-02,137.029
2013-04-03,136.983
2013-04-08,137.078
2013-04-09,137.112
2013-04-10,137.133
2013-04-11,137.157
2013-04-12,137.181
2013-04-15,137.222
2013-04-16,137.267
2013-04-17,137.286
2013-04-18,137.286
2013-04-19,137.296
2013-04-22,137.305
2013-04-23,137.334
2013-04-24,137.365
2013-04-25,137.374
2013-04-26,137.385
2013-05-02,137.454
2013-05-03,137.473
2013-05-06,137.539
2013-05-07,137.571
2013-05-08,137.584
2013-05-09,137.594
2013-05-10,138.301
2013-05-13,138.327
2013-05-14,138.246
2013-05-15,137.634
2013-05-16,137.63
2013-05-17,137.646
2013-05-20,137.638
2013-05-21,137.634
2013-05-22,137.649
2013-05-23,137.659
2013-05-24,137.485
2013-05-27,137.521
2013-05-28,137.58
2013-05-29,137.591
2013-05-30,137.602
2013-05-31,137.618
2013-06-03,137.654
2013-06-04,137.874
2013-06-05,137.874
2013-06-06,137.882
2013-06-07,137.898
2013-06-13,137.981
2013-06-14,137.988
2013-06-17,138.035
2013-06-18,138.061
2013-06-19,138.063
2013-06-20,138.053
2013-06-21,138.052
2013-06-24,138.028
2013-06-25,138.032
2013-06-26,138.067
2013-06-27,138.084
2013-06-28,138.099
2013-07-01,138.139
2013-07-02,138.167
2013-07-03,138.181
2013-07-04,138.149
2013-07-05,138.168
2013-07-08,138.199
2013-07-09,138.227
2013-07-10,138.236
2013-07-11,138.234
2013-07-12,138.244
2013-07-15,138.272
2013-07-16,138.245
2013-07-17,138.237
2013-07-18,138.263
2013-07-19,138.275
2013-07-22,138.239
2013-07-23,138.199
2013-07-24,138.167
2013-07-25,138.195
2013-07-26,138.212
2013-07-29,138.308
2013-07-30,138.314
2013-07-31,138.317
2013-08-01,138.331
2013-08-02,138.344
2013-08-05,138.377
2013-08-06,138.405
2013-08-07,138.416
2013-08-08,138.395
2013-08-09,138.4
2013-08-12,138.436
2013-08-13,138.441
2013-08-14,138.459
2013-08-15,138.449
2013-08-16,138.464
2013-08-19,138.5
2013-08-20,138.5
2013-08-21,138.52
2013-08-22,138.539
2013-08-23,138.465
2013-08-26,138.512
2013-08-27,138.548
2013-08-28,138.611
2013-08-29,138.622
2013-08-30,138.646
2013-09-02,138.505
2013-09-03,138.478
2013-09-04,138.509
2013-09-05,138.522
2013-09-06,138.533
2013-09-09,138.567
2013-09-10,138.533
2013-09-11,138.474
2013-09-12,138.49
2013-09-13,138.49
2013-09-16,138.521
2013-09-17,138.474
2013-09-18,138.48
2013-09-23,138.545
2013-09-24,138.578
2013-09-25,138.604
2013-09-26,138.622
2013-09-27,138.615
2013-09-30,138.648
2013-10-08,138.749
2013-10-09,138.765
2013-10-10,138.73
2013-10-11,138.745
2013-10-14,138.786
2013-10-15,138.793
2013-10-16,138.871
2013-10-17,138.862
2013-10-18,138.878
2013-10-21,138.916
2013-10-22,138.934
2013-10-23,138.942
2013-10-24,138.954
2013-10-25,138.968
2013-10-28,138.917
2013-10-29,138.885
2013-10-30,138.861
2013-10-31,138.869
2013-11-01,138.878
2013-11-04,138.914
2013-11-05,138.927
2013-11-06,138.969
2013-11-07,138.964
2013-11-08,138.949
2013-11-11,138.97
2013-11-12,138.959
2013-11-13,138.958
2013-11-14,138.964
2013-11-15,138.682
2013-11-18,138.783
2013-11-19,138.775
2013-11-20,138.972
2013-11-21,138.882
2013-11-22,138.898
2013-11-25,138.939
2013-11-26,139.049
2013-11-27,139.064
2013-11-28,139.061
2013-11-29,139.064
2013-12-02,139.084
2013-12-03,139.115
2013-12-04,139.082
2013-12-05,139.144
2013-12-06,139.175
2013-12-09,139.224
2013-12-10,139.215
2013-12-11,139.224
2013-12-12,139.23
2013-12-13,139.287
2013-12-16,139.315
2013-12-17,139.335
2013-12-18,139.354
2013-12-19,139.425
2013-12-20,139.493
2013-12-23,139.51
2013-12-24,139.526
2013-12-25,139.433
2013-12-26,139.449
2013-12-27,139.491
2013-12-30,139.557
2013-12-31,139.516
2014-01-02,139.622
2014-01-03,139.624
2014-01-06,139.624
2014-01-07,139.438
2014-01-08,139.442
2014-01-09,139.514
2014-01-10,139.519
2014-01-13,139.555
2014-01-14,139.559
2014-01-15,139.577
2014-01-16,139.608
2014-01-17,139.614
2014-01-20,139.807
2014-01-21,139.846
2014-01-22,139.957
2014-01-23,139.974
2014-01-24,139.828
2014-01-27,139.979
2014-01-28,139.684
2014-01-29,139.657
2014-01-30,139.577
2014-02-07,139.683
2014-02-10,139.755
2014-02-11,139.807
2014-02-12,139.824
2014-02-13,139.811
2014-02-14,139.859
2014-02-17,139.896
2014-02-18,139.78
2014-02-19,139.837
2014-02-20,139.854
2014-02-21,139.865
2014-02-24,139.918
2014-02-25,139.833
2014-02-26,139.774
2014-02-27,139.825
2014-02-28,139.901
2014-03-03,139.912
2014-03-04,139.971
2014-03-05,139.988
2014-03-06,139.997
2014-03-07,140.005
2014-03-10,140.064
2014-03-11,139.888
2014-03-12,139.911
2014-03-13,139.938
2014-03-14,139.955
2014-03-17,139.983
2014-03-18,140.073
2014-03-19,140.083
2014-03-20,140.129
2014-03-21,140.16
2014-03-24,140.253
2014-03-25,140.281
2014-03-26,140.273
2014-03-27,140.444
2014-03-28,140.334
2014-03-31,140.539
2014-04-01,140.559
2014-04-02,140.57
2014-04-03,140.573
2014-04-04,140.437
2014-04-08,140.551
2014-04-09,140.57
2014-04-10,140.516
2014-04-11,140.636
2014-04-14,140.639
2014-04-15,140.706
2014-04-16,140.682
2014-04-17,140.706
2014-04-18,140.723
2014-04-21,140.767
2014-04-22,140.757
2014-04-23,140.71
2014-04-24,140.717
2014-04-25,140.718
2014-04-28,140.725
2014-04-29,140.735
2014-04-30,140.801
2014-05-05,140.876
2014-05-06,140.967
2014-05-07,140.986
2014-05-08,141.008
2014-05-09,141.059
2014-05-12,141.107
2014-05-13,141.139
2014-05-14,141.137
2014-05-15,141.136
2014-05-16,141.105
2014-05-19,141.133
2014-05-20,141.155
2014-05-21,141.176
2014-05-22,141.338
2014-05-23,141.176
2014-05-26,141.36
2014-05-27,141.411
2014-05-28,141.431
2014-05-29,141.504
2014-05-30,141.54
2014-06-03,141.643
2014-06-04,141.618
2014-06-05,141.62
2014-06-06,141.627
2014-06-09,141.638
2014-06-10,141.773
2014-06-11,141.816
2014-06-12,141.787
2014-06-13,141.808
2014-06-16,141.869
2014-06-17,141.903
2014-06-18,141.805
2014-06-19,141.852
2014-06-20,141.882
2014-06-23,141.877
2014-06-24,141.952
2014-06-25,141.986
2014-06-26,141.974
2014-06-27,141.978
2014-06-30,142.015
2014-07-01,142.034
2014-07-02,142.058
2014-07-03,142.066
2014-07-04,142.031
2014-07-07,142.087
2014-07-08,142.112
2014-07-09,142.123
2014-07-10,142.118
2014-07-11,142.152
2014-07-14,142.191
2014-07-15,142.212
2014-07-16,142.158
2014-07-17,142.1
2014-07-18,142.11
2014-07-21,142.159
2014-07-22,142.186
2014-07-23,142.176
2014-07-24,142.188
2014-07-25,142.229
2014-07-28,142.251
2014-07-29,142.273
2014-07-30,142.247
2014-07-31,142.297
2014-08-01,142.344
2014-08-04,142.389
2014-08-05,142.4
2014-08-06,142.416
2014-08-07,142.428
2014-08-08,142.436
2014-08-11,142.494
2014-08-12,142.514
2014-08-13,142.529
2014-08-14,142.545
2014-08-15,142.574
2014-08-18,142.619
2014-08-19,142.619
2014-08-20,142.643
2014-08-21,142.677
2014-08-22,142.714
2014-08-25,142.772
2014-08-26,142.759
2014-08-27,142.753
2014-08-28,142.763
2014-08-29,142.743
2014-09-01,142.823
2014-09-02,142.855
2014-09-03,142.851
2014-09-04,142.87
2014-09-05,142.918
